,n_non_na,frac_non_na,n_points_total,diag
ADANIGREEN,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 590214, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
ADANIENSOL,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 850689, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
AMBUJACEM,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903528, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
ADANIPOWER,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903512, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
APOLLOHOSP,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903528, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
ADANIENT,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 4, ""rows_original"": 903469, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
ABB,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 901837, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
ADANIPORTS,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 4, ""rows_original"": 903527, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
ATGL,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 555736, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
ASIANPAINT,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903529, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
BAJAJFINSV,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903518, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 1, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
AXISBANK,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903527, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
BAJAJHLDNG,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 898686, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 32, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
BAJAJ-AUTO,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903526, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
BANKBARODA,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903529, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
BAJFINANCE,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903521, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 1, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
BEL,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903525, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
BHARTIARTL,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 0, ""rows_original"": 903525, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
CANBK,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903529, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
BHEL,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903525, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
BPCL,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903526, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
BOSCHLTD,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 0, ""rows_original"": 903458, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
CHOLAFIN,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903289, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 7, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
BRITANNIA,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 4, ""rows_original"": 903524, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
CIPLA,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903526, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
