2025-12-31 08:12:00.852 | INFO | simulation | Launched detached simulation. PID=2860
2025-12-31 08:12:01.988 | INFO | simulation | Run initialized
2025-12-31 08:12:01.989 | INFO | simulation | Run folder: experiments\nifty500_ema_online_1D_greedy_weekly_20251231_024200
2025-12-31 08:12:01.989 | INFO | simulation | Config used: experiments\nifty500_ema_online_1D_greedy_weekly_20251231_024200\params.yaml
2025-12-31 08:12:01.989 | INFO | simulation | Experiments dir: experiments
2025-12-31 08:12:01.989 | INFO | simulation | Running experiment from config
2025-12-31 08:12:01.994 | INFO | simulation | Runner starting | data.mode=processed | use_gpu=False
2025-12-31 08:12:02.185 | INFO | simulation | Loaded prices | rows=2572 cols=486 | start=2015-02-02 00:00:00 end=2025-07-04 00:00:00
2025-12-31 08:12:02.189 | INFO | simulation | Optimizer configured | raw_type=ema_online resolved=ema_online | k=None | long_only=True | box={'min': 0.005, 'max': 0.45}
2025-12-31 08:12:02.189 | INFO | simulation | Planned total steps: 2572
2025-12-31 08:12:02.189 | INFO | simulation | Progress logging every 1%
2025-12-31 08:12:02.191 | INFO | simulation | Backtest starting | steps=2572 | rebalance=weekly | tc(proportional)=0.0005 | record_non_rebalance=False | cash=True(CASH)
2025-12-31 08:12:02.191 | INFO | simulation | Date range: 2015-02-02 00:00:00 -> 2025-07-04 00:00:00 | assets=487
2025-12-31 08:12:02.361 | INFO | simulation | Progress: 1% (26/2572) | date=2015-03-10 00:00:00 nav=1.01205326 opt_status=no_rebalance
2025-12-31 08:12:03.441 | INFO | simulation | Progress: 2% (52/2572) | date=2015-04-20 00:00:00 nav=0.83967861 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:03.949 | INFO | simulation | Progress: 3% (78/2572) | date=2015-05-27 00:00:00 nav=0.79022807 opt_status=no_rebalance
2025-12-31 08:12:04.369 | INFO | simulation | Progress: 4% (103/2572) | date=2015-07-01 00:00:00 nav=0.92600484 opt_status=no_rebalance
2025-12-31 08:12:04.776 | INFO | simulation | Progress: 5% (129/2572) | date=2015-08-06 00:00:00 nav=0.97557469 opt_status=no_rebalance
2025-12-31 08:12:05.212 | INFO | simulation | Progress: 6% (155/2572) | date=2015-09-11 00:00:00 nav=0.86825106 opt_status=no_rebalance
2025-12-31 08:12:05.855 | INFO | simulation | Progress: 7% (181/2572) | date=2015-10-23 00:00:00 nav=0.94158383 opt_status=no_rebalance
2025-12-31 08:12:06.536 | INFO | simulation | Progress: 8% (206/2572) | date=2015-12-02 00:00:00 nav=1.11253929 opt_status=no_rebalance
2025-12-31 08:12:07.245 | INFO | simulation | Progress: 9% (232/2572) | date=2016-01-11 00:00:00 nav=1.06702237 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:07.876 | INFO | simulation | Progress: 10% (258/2572) | date=2016-02-17 00:00:00 nav=0.87497269 opt_status=no_rebalance
2025-12-31 08:12:08.645 | INFO | simulation | Progress: 11% (283/2572) | date=2016-03-28 00:00:00 nav=0.90455459 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:09.323 | INFO | simulation | Progress: 12% (309/2572) | date=2016-05-06 00:00:00 nav=1.0632668 opt_status=no_rebalance
2025-12-31 08:12:10.063 | INFO | simulation | Progress: 13% (335/2572) | date=2016-06-13 00:00:00 nav=1.2775326 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:10.704 | INFO | simulation | Progress: 14% (361/2572) | date=2016-07-20 00:00:00 nav=1.62443879 opt_status=no_rebalance
