2025-12-30 22:45:47.490 | INFO | simulation | Launched detached simulation. PID=18044
2025-12-30 22:45:48.479 | INFO | simulation | Run initialized
2025-12-30 22:45:48.479 | INFO | simulation | Run folder: experiments\nifty500_ema_online_1D_risk_parity_weekly_20251230_171547
2025-12-30 22:45:48.479 | INFO | simulation | Config used: experiments\nifty500_ema_online_1D_risk_parity_weekly_20251230_171547\params.yaml
2025-12-30 22:45:48.479 | INFO | simulation | Experiments dir: experiments
2025-12-30 22:45:48.479 | INFO | simulation | Running experiment from config
2025-12-30 22:45:48.483 | INFO | simulation | Runner starting | data.mode=processed | use_gpu=False
2025-12-30 22:45:48.630 | INFO | simulation | Loaded prices | rows=2324 cols=486 | start=2015-02-02 00:00:00 end=2024-07-04 00:00:00
2025-12-30 22:45:48.635 | INFO | simulation | Optimizer configured | raw_type=ema_online resolved=ema_online | k=None | long_only=True | box={'min': 0.005, 'max': 0.45}
2025-12-30 22:45:48.635 | INFO | simulation | Planned total steps: 2324
2025-12-30 22:45:48.635 | INFO | simulation | Progress logging every 1%
2025-12-30 22:45:48.641 | INFO | simulation | Backtest starting | steps=2324 | rebalance=weekly | tc(proportional)=0.0005 | record_non_rebalance=False | cash=True(CASH)
2025-12-30 22:45:48.641 | INFO | simulation | Date range: 2015-02-02 00:00:00 -> 2024-07-04 00:00:00 | assets=487
2025-12-30 22:45:48.783 | INFO | simulation | Progress: 1% (24/2324) | date=2015-03-05 00:00:00 nav=1.0228732 opt_status=no_rebalance
2025-12-30 22:45:49.375 | INFO | simulation | Progress: 2% (47/2324) | date=2015-04-10 00:00:00 nav=0.99589123 opt_status=no_rebalance
2025-12-30 22:45:49.772 | INFO | simulation | Progress: 3% (70/2324) | date=2015-05-15 00:00:00 nav=0.897937 opt_status=no_rebalance
2025-12-30 22:45:50.146 | INFO | simulation | Progress: 4% (93/2324) | date=2015-06-17 00:00:00 nav=0.9286536 opt_status=no_rebalance
2025-12-30 22:45:50.468 | INFO | simulation | Progress: 5% (117/2324) | date=2015-07-21 00:00:00 nav=1.14391843 opt_status=no_rebalance
2025-12-30 22:45:50.722 | INFO | simulation | Progress: 6% (140/2324) | date=2015-08-21 00:00:00 nav=1.30477684 opt_status=no_rebalance
2025-12-30 22:45:51.077 | INFO | simulation | Progress: 7% (163/2324) | date=2015-09-24 00:00:00 nav=1.12183434 opt_status=no_rebalance
2025-12-30 22:45:51.496 | INFO | simulation | Progress: 8% (186/2324) | date=2015-10-30 00:00:00 nav=1.09965518 opt_status=no_rebalance
2025-12-30 22:45:52.008 | INFO | simulation | Progress: 9% (210/2324) | date=2015-12-08 00:00:00 nav=1.20831138 opt_status=no_rebalance
2025-12-30 22:45:52.454 | INFO | simulation | Progress: 10% (233/2324) | date=2016-01-12 00:00:00 nav=1.18561885 opt_status=no_rebalance
2025-12-30 22:45:52.918 | INFO | simulation | Progress: 11% (256/2324) | date=2016-02-15 00:00:00 nav=0.99546858 opt_status=ok_ema_online_risk_parity
2025-12-30 22:45:53.295 | INFO | simulation | Progress: 12% (279/2324) | date=2016-03-18 00:00:00 nav=1.04710963 opt_status=no_rebalance
2025-12-30 22:45:54.008 | INFO | simulation | Progress: 13% (303/2324) | date=2016-04-28 00:00:00 nav=1.0522575 opt_status=no_rebalance
2025-12-30 22:45:54.562 | INFO | simulation | Progress: 14% (326/2324) | date=2016-05-31 00:00:00 nav=1.1130814 opt_status=no_rebalance
2025-12-30 22:45:55.005 | INFO | simulation | Progress: 15% (349/2324) | date=2016-07-01 00:00:00 nav=1.14662615 opt_status=no_rebalance
2025-12-30 22:45:55.529 | INFO | simulation | Progress: 16% (372/2324) | date=2016-08-04 00:00:00 nav=1.20203844 opt_status=no_rebalance
2025-12-30 22:45:56.019 | INFO | simulation | Progress: 17% (396/2324) | date=2016-09-09 00:00:00 nav=1.22632541 opt_status=no_rebalance
2025-12-30 22:45:56.608 | INFO | simulation | Progress: 18% (419/2324) | date=2016-10-17 00:00:00 nav=1.32415391 opt_status=ok_ema_online_risk_parity
2025-12-30 22:45:57.089 | INFO | simulation | Progress: 19% (442/2324) | date=2016-11-21 00:00:00 nav=1.20265133 opt_status=ok_ema_online_risk_parity
2025-12-30 22:45:57.457 | INFO | simulation | Progress: 20% (465/2324) | date=2016-12-22 00:00:00 nav=1.23553153 opt_status=no_rebalance
2025-12-30 22:45:57.937 | INFO | simulation | Progress: 21% (489/2324) | date=2017-01-25 00:00:00 nav=1.27342098 opt_status=no_rebalance
2025-12-30 22:45:58.452 | INFO | simulation | Progress: 22% (512/2324) | date=2017-03-01 00:00:00 nav=1.26924736 opt_status=no_rebalance
2025-12-30 22:45:58.926 | INFO | simulation | Progress: 23% (535/2324) | date=2017-04-05 00:00:00 nav=1.3652634 opt_status=no_rebalance
2025-12-30 22:45:59.388 | INFO | simulation | Progress: 24% (558/2324) | date=2017-05-10 00:00:00 nav=1.53802012 opt_status=no_rebalance
2025-12-30 22:45:59.865 | INFO | simulation | Progress: 25% (581/2324) | date=2017-06-12 00:00:00 nav=1.50991757 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:00.335 | INFO | simulation | Progress: 26% (605/2324) | date=2017-07-17 00:00:00 nav=1.40501515 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:00.735 | INFO | simulation | Progress: 27% (628/2324) | date=2017-08-18 00:00:00 nav=1.33903262 opt_status=no_rebalance
2025-12-30 22:46:01.183 | INFO | simulation | Progress: 28% (651/2324) | date=2017-09-21 00:00:00 nav=1.40940064 opt_status=no_rebalance
2025-12-30 22:46:01.627 | INFO | simulation | Progress: 29% (674/2324) | date=2017-10-27 00:00:00 nav=1.53096259 opt_status=no_rebalance
2025-12-30 22:46:02.123 | INFO | simulation | Progress: 30% (698/2324) | date=2017-11-30 00:00:00 nav=1.55689237 opt_status=no_rebalance
2025-12-30 22:46:02.647 | INFO | simulation | Progress: 31% (721/2324) | date=2018-01-03 00:00:00 nav=1.54895579 opt_status=no_rebalance
2025-12-30 22:46:03.122 | INFO | simulation | Progress: 32% (744/2324) | date=2018-02-06 00:00:00 nav=1.3078846 opt_status=no_rebalance
2025-12-30 22:46:03.625 | INFO | simulation | Progress: 33% (767/2324) | date=2018-03-13 00:00:00 nav=1.40073922 opt_status=no_rebalance
2025-12-30 22:46:04.078 | INFO | simulation | Progress: 34% (791/2324) | date=2018-04-18 00:00:00 nav=2.13203085 opt_status=no_rebalance
2025-12-30 22:46:04.512 | INFO | simulation | Progress: 35% (814/2324) | date=2018-05-22 00:00:00 nav=2.57517912 opt_status=no_rebalance
2025-12-30 22:46:04.862 | INFO | simulation | Progress: 36% (837/2324) | date=2018-06-22 00:00:00 nav=2.84653817 opt_status=no_rebalance
2025-12-30 22:46:05.314 | INFO | simulation | Progress: 37% (860/2324) | date=2018-07-25 00:00:00 nav=2.93847865 opt_status=no_rebalance
2025-12-30 22:46:05.753 | INFO | simulation | Progress: 38% (884/2324) | date=2018-08-30 00:00:00 nav=3.04075137 opt_status=no_rebalance
2025-12-30 22:46:06.224 | INFO | simulation | Progress: 39% (907/2324) | date=2018-10-05 00:00:00 nav=2.58320754 opt_status=no_rebalance
2025-12-30 22:46:06.757 | INFO | simulation | Progress: 40% (930/2324) | date=2018-11-12 00:00:00 nav=2.70837172 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:07.134 | INFO | simulation | Progress: 41% (953/2324) | date=2018-12-14 00:00:00 nav=2.68322149 opt_status=no_rebalance
2025-12-30 22:46:07.591 | INFO | simulation | Progress: 42% (977/2324) | date=2019-01-18 00:00:00 nav=2.66095791 opt_status=no_rebalance
2025-12-30 22:46:08.211 | INFO | simulation | Progress: 43% (1000/2324) | date=2019-02-20 00:00:00 nav=2.67022519 opt_status=no_rebalance
2025-12-30 22:46:08.813 | INFO | simulation | Progress: 44% (1023/2324) | date=2019-03-27 00:00:00 nav=2.78537011 opt_status=no_rebalance
2025-12-30 22:46:09.294 | INFO | simulation | Progress: 45% (1046/2324) | date=2019-05-03 00:00:00 nav=3.03621411 opt_status=no_rebalance
2025-12-30 22:46:09.774 | INFO | simulation | Progress: 46% (1070/2324) | date=2019-06-07 00:00:00 nav=3.08824684 opt_status=no_rebalance
2025-12-30 22:46:10.382 | INFO | simulation | Progress: 47% (1093/2324) | date=2019-07-10 00:00:00 nav=2.9550866 opt_status=no_rebalance
2025-12-30 22:46:10.848 | INFO | simulation | Progress: 48% (1116/2324) | date=2019-08-13 00:00:00 nav=2.9551145 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:11.316 | INFO | simulation | Progress: 49% (1139/2324) | date=2019-09-18 00:00:00 nav=3.00511848 opt_status=no_rebalance
2025-12-30 22:46:11.790 | INFO | simulation | Progress: 50% (1162/2324) | date=2019-10-24 00:00:00 nav=3.48134109 opt_status=no_rebalance
2025-12-30 22:46:12.229 | INFO | simulation | Progress: 51% (1186/2324) | date=2019-11-29 00:00:00 nav=3.9768791 opt_status=no_rebalance
2025-12-30 22:46:12.693 | INFO | simulation | Progress: 52% (1209/2324) | date=2020-01-02 00:00:00 nav=4.18863057 opt_status=no_rebalance
2025-12-30 22:46:13.164 | INFO | simulation | Progress: 53% (1232/2324) | date=2020-02-03 00:00:00 nav=4.18183449 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:13.560 | INFO | simulation | Progress: 54% (1255/2324) | date=2020-03-06 00:00:00 nav=5.6589683 opt_status=no_rebalance
2025-12-30 22:46:14.126 | INFO | simulation | Progress: 55% (1279/2324) | date=2020-04-16 00:00:00 nav=5.85496584 opt_status=no_rebalance
2025-12-30 22:46:14.610 | INFO | simulation | Progress: 56% (1302/2324) | date=2020-05-20 00:00:00 nav=10.38917621 opt_status=no_rebalance
2025-12-30 22:46:15.084 | INFO | simulation | Progress: 57% (1325/2324) | date=2020-06-23 00:00:00 nav=17.89563599 opt_status=no_rebalance
2025-12-30 22:46:15.472 | INFO | simulation | Progress: 58% (1348/2324) | date=2020-07-24 00:00:00 nav=15.86438576 opt_status=no_rebalance
2025-12-30 22:46:15.914 | INFO | simulation | Progress: 59% (1372/2324) | date=2020-08-27 00:00:00 nav=21.51435871 opt_status=no_rebalance
2025-12-30 22:46:16.397 | INFO | simulation | Progress: 60% (1395/2324) | date=2020-09-29 00:00:00 nav=16.68576524 opt_status=no_rebalance
2025-12-30 22:46:16.898 | INFO | simulation | Progress: 61% (1418/2324) | date=2020-11-02 00:00:00 nav=16.69219053 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:17.428 | INFO | simulation | Progress: 62% (1441/2324) | date=2020-12-07 00:00:00 nav=18.83881502 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:17.936 | INFO | simulation | Progress: 63% (1465/2324) | date=2021-01-11 00:00:00 nav=19.68662818 opt_status=ok_ema_online_risk_parity
2025-12-30 22:46:18.366 | INFO | simulation | Progress: 64% (1488/2324) | date=2021-02-12 00:00:00 nav=20.01541471 opt_status=no_rebalance
